# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
4.24,0.00,0.00,0.00,5.05
4.25,0.00,0.60,1.02,5.01
4.26,0.00,2.80,0.00,5.05
4.26,0.00,-0.50,1.14,5.01
4.27,0.00,-1.60,1.92,4.94
4.28,0.00,3.30,0.06,5.03
nan,nan,nan,nan,nan
4.29,0.00,-0.50,1.50,4.96
4.29,0.00,-1.60,0.00,5.01
4.30,0.00,-1.60,0.06,5.07
4.31,0.00,0.00,0.96,5.03
4.32,0.00,1.10,1.02,4.99
4.33,0.00,0.00,0.06,5.03
nan,nan,nan,nan,nan
4.33,0.00,0.60,1.56,4.96
4.34,0.00,1.10,0.00,5.01
4.35,0.00,-1.00,0.06,5.05
4.36,0.00,0.00,1.02,5.01
4.36,0.00,2.80,1.02,4.96
4.37,0.00,1.10,1.14,4.90
4.38,0.00,2.20,0.78,4.94
4.38,0.00,-1.00,0.96,4.99
4.39,0.00,0.00,1.26,4.94
4.40,0.00,-1.00,0.00,5.01
nan,nan,nan,nan,nan
4.41,0.00,0.00,0.00,5.05
4.42,0.00,2.20,0.00,5.07
4.42,0.00,-0.50,1.02,5.05
4.43,0.00,1.10,1.98,4.99
4.44,0.00,-0.50,1.08,4.92
4.45,0.00,2.20,0.00,4.99
nan,nan,nan,nan,nan
4.45,0.00,-0.50,0.00,5.03
4.46,0.00,1.10,0.96,5.01
4.47,0.00,0.00,0.00,5.05
4.48,0.00,-2.10,1.92,4.99
4.48,0.00,4.40,0.00,5.03
4.49,0.00,-1.00,1.38,4.96
nan,nan,nan,nan,nan
4.50,0.00,3.80,0.06,5.03
4.51,0.00,0.00,0.66,4.99
4.52,0.00,-1.60,0.00,5.03
4.52,0.00,-0.50,1.02,4.99
4.53,0.00,1.10,1.14,4.92
4.54,0.00,0.60,1.02,4.96
4.55,0.00,0.60,0.06,5.03
4.55,0.00,2.20,1.02,4.99
4.56,0.00,1.10,1.20,4.92
nan,nan,nan,nan,nan
4.57,0.00,0.00,0.78,4.96
4.57,0.00,1.70,1.08,4.92
4.58,0.00,2.20,0.84,4.96
4.59,0.00,1.10,0.06,5.01
4.60,0.00,0.60,0.00,5.07
4.60,0.00,1.10,1.02,5.01
4.61,0.00,-1.00,0.06,5.05
4.62,0.00,1.10,1.92,4.99
4.62,0.00,1.10,1.80,4.94
4.63,0.00,0.60,1.14,4.99
4.64,0.00,1.10,0.06,5.05
4.65,0.00,1.70,0.06,5.09
